CITY,METRO ID,DAY,ON,OFF,TOTAL,POPULATION (2020),BOARDINGS PER CAPITA,EXITS PER CAPITA,TOTAL PER CAPITA
Richmond,1,Sunday,2055.59198476962,1989.64377917406,4045.23576394369,116448,0.01765244559605678,0.017086113794775867,0.03473855939083273
Ashland,3,Weekday,665.486916285421,702.866261003799,1368.35317728922,23823,0.02793463947804311,0.029503683877085126,0.05743832335512824
Ashland,3,Saturday,462.957520257527,380.783014208001,843.740534465528,23823,0.019433216650192126,0.015983839743441256,0.03541705639363338
Ashland,3,Sunday,376.151245976246,303.387925962926,679.539171939172,23823,0.015789415521816983,0.012735084832427737,0.02852450035424472
Pittsburg,0,Weekday,42.3733974358974,0,42.3733974358974,76416,0.0005545094932461448,0.0,0.0005545094932461448
Pittsburg,0,Sunday,0,0,0,76416,0.0,0.0,0.0
Pittsburg,0,Saturday,0,0,0,76416,0.0,0.0,0.0
San Lorenzo,3,Weekday,359.452045418971,386.668656137876,746.120701556846,29581,0.0121514501003675,0.013071520778130421,0.02522297087849789
San Lorenzo,3,Saturday,169.424292374298,195.045820845821,364.470113220118,29581,0.005727470077897908,0.006593618229465569,0.012321088307363443
San Lorenzo,3,Sunday,141.030441780442,162.07589077588,303.106332556322,29581,0.004767602237261824,0.005479053810752848,0.010246656048014672
Hayward,3,Weekday,5508.52990758405,5596.08443944049,11104.6143470245,162954,0.03380420184582183,0.03434149784258435,0.06814569968840593
Hayward,3,Saturday,3304.46485211388,3402.11845795816,6706.58331007204,162954,0.020278513274383448,0.02087778427015084,0.04115629754453429
Hayward,3,Sunday,2805.29559973844,2906.29850221034,5711.59410194878,162954,0.017215260746826958,0.01783508537507726,0.03505034612190422
Tara Hills,1,Weekday,60.5295512926697,17.9485592303914,78.478110523061,5364,0.011284405535546178,0.0033461146961952645,0.014630520231741426
Tara Hills,1,Saturday,43.1166666666667,72.7489898989899,115.865656565657,5364,0.008038155605269706,0.013562451509878804,0.021600607115148582
Tara Hills,1,Sunday,41.3971778221778,35.2214840714841,76.6186618936618,5364,0.007717594672292655,0.0065662721982632545,0.01428386687055589
El Sobrante,1,Weekday,232.88880582097,218.351647471985,451.240453292955,14039,0.01658870331369542,0.015553219422464919,0.03214192273616034
El Sobrante,1,Saturday,96.128354978355,89.4170634920635,185.545418470418,14039,0.006847236624998576,0.006369190361996118,0.01321642698699466
El Sobrante,1,Sunday,84.8029609279609,77.2797313797314,162.082692307692,14039,0.006040527169168808,0.005504646440610542,0.01154517360977933
Newark,4,Weekday,859.115582902274,902.957526723795,1762.07310962607,47529,0.01807560821608437,0.01899803334224989,0.03707364155833428
Newark,4,Saturday,537.163930513922,568.878743478743,1106.04267399267,47529,0.011301814271579919,0.01196908715686724,0.023270901428447264
Newark,4,Sunday,471.916317016317,478.174911199911,950.091228216228,47529,0.009929018431196049,0.010060697914955312,0.019989716346151362
Oakland,2,Weekday,55077.5483636944,55303.7758558894,110381.324219584,440646,0.12499273422133503,0.12550613384868897,0.25049886807002447
Oakland,2,Saturday,34634.1814759423,34595.4824910778,69229.6639670204,440646,0.07859865169760374,0.07851082839984432,0.15710948009744874
Oakland,2,Sunday,29941.0930307168,29845.8304608919,59786.9234916087,440646,0.06794817842603088,0.06773198998945162,0.1356801684154825
San Leandro,3,Weekday,5324.72849461814,5285.28924910443,10610.0177437226,91008,0.058508356349091725,0.05807499614434369,0.11658335249343574
San Leandro,3,Saturday,3788.68850210255,3920.95388916637,7709.64239126892,91008,0.041630279778728796,0.0430836178046586,0.08471389758338739
San Leandro,3,Sunday,3304.20386549653,3341.83357720711,6646.03744270365,91008,0.03630674078648613,0.036720217752363636,0.07302695853884988
Pinole,1,Weekday,89.929414745912,58.5978341105245,148.527248856437,19022,0.004727652967401535,0.003080529603118731,0.007808182570520293
Pinole,1,Saturday,55.3533896658897,59.4085275835276,114.761917249417,19022,0.002909966862889796,0.003123148332642603,0.006033115195532383
Pinole,1,Sunday,53.481621886885,54.5971306471307,108.078752534016,19022,0.002811566706281411,0.0028702097911434497,0.005681776497424877
Fairview,3,Weekday,89.8772959941836,97.7078232354427,187.585119229626,11341,0.007924988624828816,0.0086154504219595,0.01654043904678829
Fairview,3,Saturday,52.9755577755577,57.2106227106227,110.18618048618,11341,0.004671154023063019,0.005044583609084093,0.009715737632147078
Fairview,3,Sunday,43.102208902209,40.7868298368298,83.8890387390388,11341,0.003800565109091703,0.0035964050645295657,0.007396970173621268
Union City,4,Weekday,1975.11790098743,1994.13472267196,3969.25262365939,70143,0.028158446330887328,0.02842956136281539,0.05658800769370272
Union City,4,Saturday,1297.8828336696,1274.20899557959,2572.09182924919,70143,0.0185033835688465,0.018165875362895656,0.03666925893174216
Union City,4,Sunday,1176.84297091797,1184.85104340104,2361.69401431901,70143,0.01677776785877379,0.0168919356657263,0.03366970352450009
Castro Valley,3,Weekday,215.239700787497,248.648981206897,463.888681994394,66441,0.0032395614272436746,0.0037424027514170012,0.006981964178660677
Castro Valley,3,Sunday,154.651238401423,179.399569874581,334.050808276004,66441,0.0023276476633618246,0.00270013350001627,0.005027781163378094
Castro Valley,3,Saturday,150.323394032345,175.478404928405,325.80179896075,66441,0.002262509505160142,0.0026411162524405864,0.004903625757600728
Hercules,1,Weekday,0,0,0,26016,0.0,0.0,0.0
Hercules,1,Sunday,0,0,0,26016,0.0,0.0,0.0
Hercules,1,Saturday,0,0,0,26016,0.0,0.0,0.0
San Francisco,0,Weekday,1987.37719217749,1980.28606003771,3967.6632522152,873965,0.00227397801076415,0.0022658642623419817,0.004539842273106131
San Francisco,0,Saturday,878.740620490621,829.501376401377,1708.241996892,873965,0.001005464315493894,0.0009491242514304086,0.001954588566924305
San Francisco,0,Sunday,741.259254634255,723.876093351093,1465.13534798535,873965,0.0008481566820573535,0.0008282666849943567,0.0016764233670517128
East Richmond Heights,1,Weekday,22.5540015540016,56.5717005217063,79.1257020757078,3460,0.0065184975589600005,0.016350202462920894,0.022868700021880867
East Richmond Heights,1,Sunday,0,0,0,3460,0.0,0.0,0.0
