LINE NAME,LINE CODE,DIRECTION,DAY,BOARDINGS,DEBOARDINGS
FS,109,Eastbound,Weekday,34.72401656314702,36.05511506037823
FS,109,Westbound,Weekday,44.82174826682465,53.42222222222221
G,120,Eastbound,Weekday,72.29812380149826,74.95829300554911
G,120,Westbound,Weekday,114.21157740269221,112.35120133276766
J,110,Eastbound,Weekday,86.25940662147556,87.45042241571726
J,110,Westbound,Weekday,132.5098487697959,132.10085651787514
L,1230,Eastbound,Weekday,66.78465676522751,69.06904898665698
L,1230,Westbound,Weekday,54.83266628397214,61.67697623752349
LA,127,Eastbound,Weekday,39.48844015238389,51.25890851614164
LA,127,Westbound,Weekday,32.61702127659572,32.778890279516055
NL,124,Eastbound,Weekday,1100.1533259102428,1100.3078045198347
NL,124,Westbound,Weekday,1047.593084984408,1048.9983186582886
NX,1290,Eastbound,Weekday,74.90456226372045,79.57967909364764
NX,1290,Westbound,Weekday,54.34630940343784,54.36804853387263
NX3,1293,Eastbound,Weekday,44.89781861403735,50.540694344954694
NX3,1293,Westbound,Weekday,43.43605870020964,43.471698113207566
O,1250,Eastbound,Weekday,544.1188062097818,547.5110952963354
O,1250,Westbound,Weekday,521.1214689906477,518.168386880772
OX,1251,Eastbound,Weekday,49.21728662185475,54.581450894535976
OX,1251,Westbound,Weekday,39.8045679039755,39.46074518092889
P,107,Eastbound,Weekday,145.08597409686425,152.71768878436148
P,107,Westbound,Weekday,143.52551696247346,144.88289509159114
U,136,Eastbound,Weekday,120.21050350244616,122.4320861902449
U,136,Westbound,Weekday,79.56383067226524,79.25300234317842
V,130,Eastbound,Weekday,81.95501671007094,84.8476706996307
V,130,Westbound,Weekday,64.68272620446538,64.68272620446537
W,119,Eastbound,Weekday,71.23426031537745,75.99657406012314
W,119,Westbound,Weekday,48.789743589743594,48.78974358974355
1,1,Northbound,Saturday,6001.491874791876,6048.136152736154
1,1,Southbound,Saturday,5921.508181769212,5984.493980039439
6,6,Northbound,Saturday,1889.8593795093793,1865.645418470419
6,6,Southbound,Saturday,2184.8112304362303,2209.617690642691
7,7,Northbound,Saturday,1181.6658730158733,1180.5103174603173
7,7,Southbound,Saturday,1134.7261904761908,1133.264285714285
10,10,Northbound,Saturday,707.7327349121463,711.728787878788
10,10,Southbound,Saturday,735.7158147408154,734.8593545343542
12,12,Northbound,Saturday,911.9317099567104,923.0719336219333
12,12,Southbound,Saturday,934.027200577202,923.1072150072148
14,14,Eastbound,Saturday,737.5418581418581,739.3580086579927
14,14,Westbound,Saturday,739.4902680652685,749.7258047508046
18,18,Northbound,Saturday,1459.7089937839935,1460.1408480408584
18,18,Southbound,Saturday,1428.4739419705195,1469.3363226642632
19,19,Eastbound,Saturday,91.7260101010101,92.11111111111106
19,19,Westbound,Saturday,93.20870240870241,93.74430014430013
20,20,Eastbound,Saturday,857.3692585192584,858.7809523809531
20,20,Westbound,Saturday,824.290909090909,824.469191919192
21,21,Eastbound,Saturday,424.90314685314706,421.79324009324
21,21,Westbound,Saturday,529.2571095571107,531.5531857031852
28,28,Northbound,Saturday,206.6773115773116,208.2314685314686
28,28,Southbound,Saturday,226.64358974358976,226.95536130536127
29,29,Eastbound,Saturday,351.66071428571445,347.72619047619054
29,29,Westbound,Saturday,365.7607142857143,377.2583333333332
33,33,Eastbound,Saturday,652.6237373737376,651.8820707070709
33,33,Westbound,Saturday,593.1073317610214,646.3199494949494
34,34,Northbound,Saturday,236.93313570487487,267.1060606060606
34,34,Southbound,Saturday,263.560606060606,263.8257575757575
35,35,Northbound,Saturday,248.59460539460537,251.5604728604728
35,35,Southbound,Saturday,265.2883838383863,265.16414973914965
36,36,Northbound,Saturday,1156.4317099566097,1141.5024531024533
36,36,Southbound,Saturday,852.9941752691653,857.4743145743143
41,41,Northbound,Saturday,190.46783216783206,190.0439393939394
41,41,Southbound,Saturday,194.0162714097497,196.15971057927584
45,45,Eastbound,Saturday,273.4531385280374,273.1060606060605
45,45,Westbound,Saturday,292.4219696969695,292.6462121212122
54,54,Eastbound,Saturday,317.1518648018649,319.7318181818181
54,54,Westbound,Saturday,280.28989898989875,280.36767676767636
56,56,Northbound,Saturday,166.00672105672115,166.79207459207464
56,56,Southbound,Saturday,112.540439270874,140.66363636363644
57,57,Eastbound,Saturday,2218.0071640776378,2247.232034631942
57,57,Westbound,Saturday,2267.960320235307,2262.582498057498
60,60,Eastbound,Saturday,358.53636363636366,356.37121212121207
60,60,Westbound,Saturday,311.01515151515156,311.7166666666668
62,62,Eastbound,Saturday,502.14782847872095,506.7220279720282
62,62,Westbound,Saturday,529.2102564102461,529.6984848484849
70,70,Northbound,Saturday,173.46634199134203,175.39285714285717
70,70,Southbound,Saturday,163.2900793650635,164.75238095238086
71,71,Northbound,Saturday,186.38333333333338,191.4345598845598
71,71,Southbound,Saturday,198.65039682539688,199.02698412698413
72,72,Northbound,Saturday,1327.7980519480475,1327.8886835386802
72,72,Southbound,Saturday,1239.3222370222431,1239.5521164021166
73,73,Eastbound,Saturday,646.7456709956662,647.1835497835493
73,73,Westbound,Saturday,655.8174963923958,657.2371933621932
74,74,Northbound,Saturday,222.32813575313577,214.58676046176046
74,74,Southbound,Saturday,205.84119769121222,208.86017316017305
